Video ID,Playlist video creation timestamp
StXoFPs7Cok,2024-08-08T11:08:20+00:00
jzcKlm0jo8w,2024-06-30T14:08:23+00:00
q5SsM9PWWYc,2024-06-30T14:08:16+00:00
r91dDtjHWCk,2024-06-26T13:03:36+00:00
tN5pbJm6dDI,2023-12-16T18:47:34+00:00
WWGM4hY34pI,2023-10-18T18:05:47+00:00
_FTo3JGKVSk,2023-07-17T13:02:16+00:00
SNpjZ_wW7lQ,2023-07-13T21:40:02+00:00
Q56kljmIN14,2023-06-07T15:46:41+00:00
kS3v0KoMgYY,2023-06-01T13:05:14+00:00
m8Icp_Cid5o,2023-05-03T09:34:49+00:00
I2ZK3ngNvvI,2022-12-13T03:55:26+00:00
p3L8Wrnv43Y,2022-04-28T05:35:01+00:00
kISkx2ihCr0,2022-02-20T04:19:48+00:00
v_mONWiFv0k,2021-11-07T09:42:14+00:00
DxAsqinkmyE,2021-11-03T04:36:25+00:00
Iw40wdwkkLA,2021-10-18T15:55:59+00:00
72wV2tYjUHk,2021-10-10T03:51:13+00:00
AJX4W3MwKzU,2021-10-09T15:56:20+00:00
EV0bi4gh4qs,2021-10-07T16:11:09+00:00
JtVkKwuw180,2021-10-07T16:10:54+00:00
yPtUDNUO7BQ,2021-10-07T16:10:44+00:00
BanBrr3Hzm8,2021-10-07T04:34:56+00:00
GzLSv1asX58,2021-09-06T08:26:01+00:00
wm1Kp7gLXgk,2021-08-25T04:42:31+00:00
r1IPkKytpgw,2021-06-26T08:01:20+00:00
xjMershbw1k,2021-06-25T04:59:07+00:00
aXUsrKPTBvY,2020-09-20T16:24:26+00:00
3BRLGRqj8ps,2020-09-20T14:50:12+00:00
qFJeN9V1ZsI,2020-09-20T08:37:26+00:00
GIsg-ZUy0MY,2020-09-19T16:48:53+00:00
bKDdT_nyP54,2020-08-05T12:26:03+00:00
pXRviuL6vMY,2020-07-04T14:05:21+00:00
MZNjmfx4LMc,2020-06-24T10:52:16+00:00
ycJEoqmQvwg,2020-03-21T04:05:34+00:00
zsdYLTQ74W4,2019-12-08T07:09:15+00:00
g_TkhkF98Eo,2019-12-06T03:43:02+00:00
sJ1tQESWyM0,2019-11-26T18:26:22+00:00
 -Qe8cR4Jl10,2019-09-15T06:59:15+00:00
IGXe_36Nq70,2019-08-26T17:40:52+00:00
2gG-SSsVXt8,2019-08-26T17:31:15+00:00
GMZdv0-gjFc,2019-02-13T07:33:03+00:00
A2FrrSyyKfA,2019-02-11T15:48:21+00:00
I7QgUrRiWs0,2019-01-29T07:19:23+00:00
F5peLCaGPnE,2019-01-18T08:18:26+00:00
8EWRVroXT34,2019-01-01T17:01:36+00:00
7pa54hWROpQ,2018-12-24T12:40:55+00:00
m6dCxo7t_aE,2018-12-24T12:40:47+00:00
5QYxuGQMCuU,2018-12-23T06:01:26+00:00
v8TrLtRLqWc,2018-12-19T04:01:42+00:00
FTMox3mbWHA,2018-12-12T07:14:54+00:00
2W7SzvDp5Gw,2018-12-04T12:33:59+00:00
CJDHrkU9gbw,2018-11-11T16:19:51+00:00
eZp_0_jXTPo,2018-10-22T12:13:27+00:00
J0EVI66so-c,2018-10-19T03:57:18+00:00
QGe_cG3g6kw,2018-10-03T11:39:35+00:00
mPCDQ34S8Rs,2018-09-20T11:32:38+00:00
TKILNbrWxBQ,2018-08-21T13:23:25+00:00
TdClcgeEnh4,2018-08-05T02:37:30+00:00
FGgycVKA9gU,2018-08-01T15:05:45+00:00
3jdqG4jnwFE,2018-08-01T15:04:50+00:00
dRlQlW21Avw,2018-08-01T15:04:40+00:00
oFp2wruFnxY,2018-08-01T15:04:23+00:00
4utfoKzGa4E,2018-08-01T15:04:14+00:00
H5I8RZ4ysxo,2018-08-01T15:03:59+00:00
jTOyO1EcjdE,2018-07-16T09:19:27+00:00
R1vskiVDwl4,2018-07-16T09:19:13+00:00
Ks-_Mh1QhMc,2018-07-16T09:17:05+00:00
e2-ahs905MQ,2018-07-02T09:57:57+00:00
w0hjranTvDU,2018-07-01T13:12:33+00:00
7VNkb9CPCBA,2018-07-01T13:10:50+00:00
rWMLdFqmgkE,2018-04-27T05:19:36+00:00
EFwa5Owp0-k,2018-04-27T05:19:11+00:00
ZIbNKBx88_E,2018-04-27T05:18:56+00:00
qfTJP7Soto4,2018-02-08T11:47:19+00:00
VyXIPWZKc0g,2018-01-21T09:13:17+00:00
rdkV6bCx8ck,2018-01-11T14:26:29+00:00
EVqBzOGQlkI,2018-01-01T09:25:32+00:00
BWu7JDETw_I,2017-12-15T16:42:28+00:00
GEdybX-kKZg,2017-11-30T03:58:38+00:00
fJi6HHY2EyM,2017-11-30T03:58:21+00:00
66CxIEaV3Z4,2017-11-25T07:21:35+00:00
rUis1mSzwyA,2016-12-02T13:31:06+00:00





