Channel ID,Channel URL,Channel title
UC-VNOmCXKmsss7zpvS3RbOQ,http://www.youtube.com/channel/UC-VNOmCXKmsss7zpvS3RbOQ,Anjali Harikumar
UC-hZDis8Dbfk8FotKkOXyQQ,http://www.youtube.com/channel/UC-hZDis8Dbfk8FotKkOXyQQ,Of Monsters and Men
UC-qTldS8DNIGOfIVc0G8t-w,http://www.youtube.com/channel/UC-qTldS8DNIGOfIVc0G8t-w,Thyview
UC-yTB2bUcin9mmah36sXiYA,http://www.youtube.com/channel/UC-yTB2bUcin9mmah36sXiYA,TEDxYouth
UC02x9yG9ZFF_VZp1VnMoptg,http://www.youtube.com/channel/UC02x9yG9ZFF_VZp1VnMoptg,Productivity Game
UC0rE2qq81of4fojo-KhO5rg,http://www.youtube.com/channel/UC0rE2qq81of4fojo-KhO5rg,Tanmay Bhat
UC0rqucBdTuFTjJiefW5t-IQ,http://www.youtube.com/channel/UC0rqucBdTuFTjJiefW5t-IQ,TensorFlow
UC12LqyqTQYbXatYS9AA7Nuw,http://www.youtube.com/channel/UC12LqyqTQYbXatYS9AA7Nuw,Machine Learning University
UC1_-cyLlwnmTAesbMgruDpQ,http://www.youtube.com/channel/UC1_-cyLlwnmTAesbMgruDpQ,Nazar Battu
UC1b_lVrnkUB1UKmKf3v7Ksw,http://www.youtube.com/channel/UC1b_lVrnkUB1UKmKf3v7Ksw,Nirmaan Goa
UC1fLEeYICmo3O9cUsqIi7HA,http://www.youtube.com/channel/UC1fLEeYICmo3O9cUsqIi7HA,Nick White
UC1iqebKNH36JIdBIjEy8-iQ,http://www.youtube.com/channel/UC1iqebKNH36JIdBIjEy8-iQ,Pixl Networks
UC2mm1L3aunftD6RE2y_VubQ,http://www.youtube.com/channel/UC2mm1L3aunftD6RE2y_VubQ,Danish Sait
UC3F4P3KGQTf35BXKmscDyMg,http://www.youtube.com/channel/UC3F4P3KGQTf35BXKmscDyMg,Film Companion South
UC3RcjbuyF5M1U4R62zjE3hg,http://www.youtube.com/channel/UC3RcjbuyF5M1U4R62zjE3hg,Dan Carlin
UC3XTzVzaHQEd30rQbuvCtTQ,http://www.youtube.com/channel/UC3XTzVzaHQEd30rQbuvCtTQ,LastWeekTonight
UC4JX40jDee_tINbkjycV4Sg,http://www.youtube.com/channel/UC4JX40jDee_tINbkjycV4Sg,Tech With Tim
UC4QZ_LsYcvcq7qOsOhpAX4A,http://www.youtube.com/channel/UC4QZ_LsYcvcq7qOsOhpAX4A,ColdFusion
UC4a-Gbdw7vOaccHmFo40b9g,http://www.youtube.com/channel/UC4a-Gbdw7vOaccHmFo40b9g,Khan Academy
UC5LLGUORSssTJWWIEAsuW3w,http://www.youtube.com/channel/UC5LLGUORSssTJWWIEAsuW3w,Steph France - Curious Marketer
UC5bQ6WD_2NLGbfeJYIwAIuA,http://www.youtube.com/channel/UC5bQ6WD_2NLGbfeJYIwAIuA,INKtalks
UC5fcjujOsqD-126Chn_BAuA,http://www.youtube.com/channel/UC5fcjujOsqD-126Chn_BAuA,Sarthak Goswami
UC5hdZuUUu9bHNs6IKE06KIg,http://www.youtube.com/channel/UC5hdZuUUu9bHNs6IKE06KIg,Funny Student Vines
UC5jkXpfnBhlDjqh0ir5FsIQ,http://www.youtube.com/channel/UC5jkXpfnBhlDjqh0ir5FsIQ,Rudy Mancuso
UC5uq7QZ2MxxXrOF6Wdwtx-A,http://www.youtube.com/channel/UC5uq7QZ2MxxXrOF6Wdwtx-A,Kitaabi Cabins
UC5w5J49tzBvSwmOowwBJ-eA,http://www.youtube.com/channel/UC5w5J49tzBvSwmOowwBJ-eA,Be a Programmer
UC5wZGwqyPawfmzpve8aJ-hw,http://www.youtube.com/channel/UC5wZGwqyPawfmzpve8aJ-hw,Geopold
UC6-ymYjG0SU0jUWnWh9ZzEQ,http://www.youtube.com/channel/UC6-ymYjG0SU0jUWnWh9ZzEQ,Wisecrack
UC6107grRI4m0o2-emgoDnAA,http://www.youtube.com/channel/UC6107grRI4m0o2-emgoDnAA,SmarterEveryDay
UC640y4UvDAlya_WOj5U4pfA,http://www.youtube.com/channel/UC640y4UvDAlya_WOj5U4pfA,nptelhrd
UC68TLK0mAEzUyHx5x5k-S1Q,http://www.youtube.com/channel/UC68TLK0mAEzUyHx5x5k-S1Q,Jeff Nippard
UC6nSFpj9HTCZ5t-N3Rm3-HA,http://www.youtube.com/channel/UC6nSFpj9HTCZ5t-N3Rm3-HA,Vsauce
UC79Gv3mYp6zKiSwYemEik9A,http://www.youtube.com/channel/UC79Gv3mYp6zKiSwYemEik9A,DataCamp
UC7BhHN8NyMMru2RUygnDXSg,http://www.youtube.com/channel/UC7BhHN8NyMMru2RUygnDXSg,Sciencephile the AI
UC7DdEm33SyaTDtWYGO2CwdA,http://www.youtube.com/channel/UC7DdEm33SyaTDtWYGO2CwdA,Physics Girl
